Transaction_ID,Book_Title,Author,Genre,ISBN,Publisher,Publication_Year,Language,Pages,Available_Copies,Total_Copies,User_ID,User_Name,Borrowing_Duration_Days,Date,Status
34,Introduction to Algorithms,Wayne Winston,Web,9780365584974,Pearson,2020,English,454,8,13,M720,Member_109,2025-01-22,2025-02-06,Returned
35,Python Programming,Ian Goodfellow,Database,9780970663644,Pearson,2018,English,602,6,5,M191,Member_127,2025-02-24,2025-03-11,Issued
36,Python Programming,Ian Goodfellow,Programming,9780646047877,OReilly,2023,English,778,0,11,M982,Member_91,2025-02-19,2025-03-06,Returned
37,Artificial Intelligence Basics,Wayne Winston,AI,9780163019366,MIT Press,2021,English,405,8,10,M236,Member_467,2025-01-24,2025-02-08,Returned
38,Artificial Intelligence Basics,Alan Beaulieu,AI,9780787251458,Wiley,2015,English,886,3,15,M913,Member_43,2025-02-02,2025-02-17,Issued
39,Data Science Handbook,John Smith,Programming,9780131607082,OReilly,2023,English,648,5,6,M858,Member_230,2025-02-11,2025-02-26,Returned
40,Artificial Intelligence Basics,Jake VanderPlas,AI,9780739990473,Wiley,2020,English,530,9,12,M286,Member_340,2025-01-01,2025-01-16,Issued
41,Operating System Concepts,Jake VanderPlas,Data Science,9780301867095,OReilly,2022,English,1017,3,13,M180,Member_131,2025-01-27,2025-02-11,Issued
42,Introduction to Algorithms,William Vincent,Programming,9780949175688,MIT Press,2015,English,580,6,10,M305,Member_105,2025-02-20,2025-03-07,Returned
43,Artificial Intelligence Basics,Thomas H. Cormen,Data Science,9780798467659,Pearson,2023,English,329,0,15,M502,Member_4,2025-02-16,2025-03-03,Issued
44,Excel for Data Analysis,Ian Goodfellow,Programming,9780550217776,Microsoft Press,2020,English,367,1,6,M805,Member_170,2025-01-30,2025-02-14,Returned
45,Operating System Concepts,Andrew Ng,Data Science,9780960232021,OReilly,2015,English,648,7,6,M493,Member_97,2025-01-14,2025-01-29,Returned
46,Operating System Concepts,Wayne Winston,Data Science,9780165023367,Microsoft Press,2023,English,699,10,8,M715,Member_447,2025-01-27,2025-02-11,Issued
47,Data Science Handbook,Jake VanderPlas,AI,9780948433720,MIT Press,2021,English,469,4,11,M142,Member_390,2025-01-22,2025-02-06,Returned
48,Operating System Concepts,Alan Beaulieu,Programming,9780434474965,MIT Press,2018,English,441,8,9,M726,Member_52,2025-01-15,2025-01-30,Issued
49,Python Programming,Alan Beaulieu,AI,9780150423527,OReilly,2017,English,1073,10,10,M766,Member_94,2025-02-27,2025-03-14,Returned
50,Machine Learning Guide,Wayne Winston,Programming,9780132966022,OReilly,2017,English,431,8,14,M305,Member_83,2025-01-17,2025-02-01,Returned
51,Excel for Data Analysis,Ian Goodfellow,Data Science,9780568591699,MIT Press,2020,English,1169,7,9,M960,Member_415,2025-02-17,2025-03-04,Issued
52,Artificial Intelligence Basics,Andrew Ng,Data Science,9780735998784,MIT Press,2019,English,701,4,7,M890,Member_39,2025-02-13,2025-02-28,Issued
53,Data Science Handbook,Jake VanderPlas,Web,9780320642657,Wiley,2023,English,1148,4,7,M972,Member_466,2025-01-18,2025-02-02,Issued
54,Excel for Data Analysis,Wayne Winston,Database,9780181294408,OReilly,2020,English,288,5,15,M773,Member_138,2025-01-03,2025-01-18,Returned
55,Introduction to Algorithms,Andrew Ng,Data Science,9780949272057,Microsoft Press,2019,English,633,0,5,M376,Member_111,2025-01-14,2025-01-29,Issued
56,Deep Learning Basics,Andrew Ng,Data Science,9780912412611,Wiley,2017,English,902,0,10,M720,Member_487,2025-01-30,2025-02-14,Issued
57,SQL for Beginners,Andrew Ng,Algorithms,9780727210216,Pearson,2019,English,448,4,8,M603,Member_335,2025-01-13,2025-01-28,Returned
58,Excel for Data Analysis,Wayne Winston,AI,9780563680569,Pearson,2015,English,572,3,14,M159,Member_306,2025-01-11,2025-01-26,Issued
59,Artificial Intelligence Basics,William Vincent,Database,9780903278466,Wiley,2021,English,748,8,15,M267,Member_22,2025-02-16,2025-03-03,Returned
60,SQL for Beginners,Jake VanderPlas,Database,9780483359875,MIT Press,2020,English,593,1,5,M610,Member_499,2025-02-22,2025-03-09,Returned
61,Python Programming,Stuart Russell,Web,9780954113662,Wiley,2019,English,812,6,7,M377,Member_109,2025-01-21,2025-02-05,Issued
62,Deep Learning Basics,John Smith,Database,9780725323425,Pearson,2018,English,550,3,15,M160,Member_18,2025-02-24,2025-03-11,Returned
63,Introduction to Algorithms,William Vincent,AI,9780155901246,Pearson,2023,English,694,4,12,M419,Member_361,2025-02-17,2025-03-04,Returned
64,Deep Learning Basics,Wayne Winston,Database,9780251184089,Microsoft Press,2016,English,261,4,6,M144,Member_462,2025-03-01,2025-03-16,Issued
65,Deep Learning Basics,Abraham Silberschatz,Web,9780720349708,Microsoft Press,2015,English,452,3,14,M477,Member_149,2025-01-26,2025-02-10,Returned
66,Web Development with Django,Alan Beaulieu,Programming,9780713128506,MIT Press,2018,English,758,0,14,M265,Member_156,2025-02-05,2025-02-20,Issued
67,Deep Learning Basics,John Smith,Web,9780910653778,MIT Press,2023,English,202,7,6,M588,Member_242,2025-02-14,2025-03-01,Returned
68,Operating System Concepts,Thomas H. Cormen,Programming,9780403323737,MIT Press,2015,English,427,7,13,M475,Member_83,2025-01-02,2025-01-17,Issued
69,Deep Learning Basics,William Vincent,Web,9780557761562,Microsoft Press,2022,English,641,4,12,M648,Member_311,2025-02-19,2025-03-06,Issued
70,Operating System Concepts,John Smith,Algorithms,9780634952392,Wiley,2024,English,828,4,14,M313,Member_434,2025-01-14,2025-01-29,Issued
71,Web Development with Django,Ian Goodfellow,Data Science,9780806598581,OReilly,2023,English,601,7,10,M559,Member_34,2025-01-03,2025-01-18,Issued
72,Machine Learning Guide,Alan Beaulieu,AI,9780268517751,Wiley,2018,English,1196,6,12,M744,Member_109,2025-02-17,2025-03-04,Issued
73,Excel for Data Analysis,Abraham Silberschatz,Algorithms,9780248218631,Microsoft Press,2021,English,556,3,8,M399,Member_185,2025-01-15,2025-01-30,Issued
74,Excel for Data Analysis,Ian Goodfellow,Algorithms,9780758494465,MIT Press,2022,English,1129,9,12,M575,Member_490,2025-01-03,2025-01-18,Returned
75,Artificial Intelligence Basics,Alan Beaulieu,Database,9780747738107,Pearson,2016,English,264,8,12,M578,Member_250,2025-02-15,2025-03-02,Returned
76,Python Programming,John Smith,Programming,9780398418403,Microsoft Press,2019,English,323,0,10,M442,Member_18,2025-02-06,2025-02-21,Returned
77,Introduction to Algorithms,Stuart Russell,Data Science,9780606581408,Wiley,2021,English,302,0,14,M766,Member_341,2025-01-24,2025-02-08,Issued
78,Introduction to Algorithms,Jake VanderPlas,Algorithms,9780153236931,Microsoft Press,2022,English,290,1,7,M252,Member_410,2025-02-22,2025-03-09,Issued
79,Excel for Data Analysis,Abraham Silberschatz,Data Science,9780558081625,Pearson,2022,English,410,10,8,M158,Member_432,2025-01-10,2025-01-25,Issued
80,Web Development with Django,Jake VanderPlas,Programming,9780806527071,Wiley,2018,English,636,6,11,M762,Member_31,2025-01-20,2025-02-04,Returned
81,Deep Learning Basics,Thomas H. Cormen,Database,9780589409228,OReilly,2024,English,1066,6,9,M476,Member_283,2025-01-03,2025-01-18,Returned
82,SQL for Beginners,Alan Beaulieu,Algorithms,9780777651529,Wiley,2023,English,581,10,6,M658,Member_46,2025-01-10,2025-01-25,Returned
83,Artificial Intelligence Basics,Alan Beaulieu,Algorithms,9780603273704,Pearson,2023,English,433,8,9,M892,Member_424,2025-01-04,2025-01-19,Issued
84,SQL for Beginners,Thomas H. Cormen,Database,9780588379182,Wiley,2015,English,263,10,8,M565,Member_480,2025-01-05,2025-01-20,Issued
85,Artificial Intelligence Basics,Andrew Ng,Programming,9780715224672,MIT Press,2024,English,378,6,13,M624,Member_446,2025-01-17,2025-02-01,Issued
86,Deep Learning Basics,Ian Goodfellow,Web,9780352856021,Wiley,2016,English,273,5,5,M807,Member_323,2025-01-26,2025-02-10,Issued
87,Introduction to Algorithms,Wayne Winston,Programming,9780500378466,OReilly,2020,English,1169,3,13,M997,Member_468,2025-02-15,2025-03-02,Returned
88,Excel for Data Analysis,Thomas H. Cormen,Web,9780614769272,MIT Press,2015,English,851,6,10,M584,Member_105,2025-01-19,2025-02-03,Returned
89,Operating System Concepts,John Smith,Programming,9780799159372,Microsoft Press,2022,English,663,4,14,M872,Member_21,2025-01-18,2025-02-02,Returned
90,Machine Learning Guide,Thomas H. Cormen,Data Science,9780386228477,Microsoft Press,2024,English,820,10,14,M176,Member_353,2025-01-03,2025-01-18,Returned
91,Artificial Intelligence Basics,Ian Goodfellow,Data Science,9780721422034,MIT Press,2016,English,866,6,10,M219,Member_263,2025-01-22,2025-02-06,Issued
92,Artificial Intelligence Basics,Abraham Silberschatz,Database,9780212891660,Microsoft Press,2024,English,1109,7,9,M148,Member_480,2025-02-22,2025-03-09,Issued
93,Artificial Intelligence Basics,Wayne Winston,Algorithms,9780654721129,Wiley,2022,English,649,9,7,M367,Member_149,2025-01-30,2025-02-14,Issued
94,Artificial Intelligence Basics,John Smith,Web,9780796280196,Microsoft Press,2016,English,445,4,7,M827,Member_103,2025-01-04,2025-01-19,Returned
95,Excel for Data Analysis,Alan Beaulieu,AI,9780841509397,Pearson,2018,English,871,8,12,M440,Member_58,2025-02-15,2025-03-02,Issued
96,Machine Learning Guide,Alan Beaulieu,AI,9780121950219,Microsoft Press,2017,English,424,10,13,M514,Member_344,2025-01-04,2025-01-19,Returned
97,Machine Learning Guide,Ian Goodfellow,Database,9780682848618,Microsoft Press,2021,English,724,4,9,M784,Member_70,2025-01-01,2025-01-16,Issued
98,Python Programming,Thomas H. Cormen,Web,9780825298263,OReilly,2018,English,1000,3,6,M176,Member_354,2025-02-27,2025-03-14,Issued
99,Deep Learning Basics,Wayne Winston,Database,9780585133476,Wiley,2022,English,973,9,5,M335,Member_93,2025-02-02,2025-02-17,Issued
100,Python Programming,Thomas H. Cormen,Data Science,9780832446130,Wiley,2024,English,1173,7,15,M460,Member_385,2025-02-06,2025-02-21,Issued
101,Artificial Intelligence Basics,Alan Beaulieu,AI,9780675862224,OReilly,2022,English,1129,6,14,M784,Member_431,2025-01-22,2025-02-06,Returned
102,Introduction to Algorithms,William Vincent,Database,9780660947418,MIT Press,2018,English,430,2,5,M567,Member_14,2025-02-17,2025-03-04,Returned
103,Excel for Data Analysis,Alan Beaulieu,Algorithms,9780273903551,Wiley,2024,English,856,8,15,M122,Member_251,2025-02-05,2025-02-20,Returned
104,Operating System Concepts,Thomas H. Cormen,Database,9780647990364,Microsoft Press,2019,English,1124,3,9,M722,Member_316,2025-03-02,2025-03-17,Returned
105,Artificial Intelligence Basics,Ian Goodfellow,Algorithms,9780473789278,Microsoft Press,2020,English,654,9,12,M177,Member_142,2025-02-27,2025-03-14,Issued
106,Operating System Concepts,Andrew Ng,AI,9780492661541,Wiley,2019,English,619,9,8,M495,Member_293,2025-01-24,2025-02-08,Issued
107,Deep Learning Basics,Wayne Winston,Algorithms,9780816914913,MIT Press,2020,English,376,4,6,M235,Member_199,2025-01-01,2025-01-16,Returned
108,SQL for Beginners,Thomas H. Cormen,Web,9780939152034,MIT Press,2021,English,263,0,14,M307,Member_453,2025-02-15,2025-03-02,Returned
109,Web Development with Django,Abraham Silberschatz,Database,9780410238855,Microsoft Press,2020,English,1187,5,7,M729,Member_484,2025-01-31,2025-02-15,Issued
110,Data Science Handbook,Jake VanderPlas,Web,9780276259587,Pearson,2022,English,489,2,8,M698,Member_314,2025-01-14,2025-01-29,Returned
111,Excel for Data Analysis,Wayne Winston,AI,9780152986603,Microsoft Press,2015,English,419,10,8,M611,Member_454,2025-01-02,2025-01-17,Issued
112,Operating System Concepts,Andrew Ng,AI,9780177902118,MIT Press,2017,English,366,1,11,M592,Member_306,2025-01-17,2025-02-01,Returned
113,Introduction to Algorithms,Wayne Winston,Data Science,9780116532045,MIT Press,2017,English,1116,1,9,M146,Member_324,2025-02-26,2025-03-13,Issued
114,Artificial Intelligence Basics,Thomas H. Cormen,AI,9780245351923,Microsoft Press,2016,English,467,4,7,M129,Member_497,2025-02-18,2025-03-05,Issued
115,Python Programming,Alan Beaulieu,Programming,9780338003253,Pearson,2015,English,929,5,7,M950,Member_372,2025-02-16,2025-03-03,Issued
116,Artificial Intelligence Basics,Ian Goodfellow,Algorithms,9780863942175,Wiley,2016,English,838,2,14,M828,Member_76,2025-01-12,2025-01-27,Issued
117,Machine Learning Guide,William Vincent,Web,9780218259503,MIT Press,2017,English,874,2,5,M921,Member_209,2025-02-22,2025-03-09,Issued
118,Artificial Intelligence Basics,Abraham Silberschatz,Web,9780815646793,MIT Press,2020,English,657,2,7,M747,Member_61,2025-01-02,2025-01-17,Returned
119,Data Science Handbook,Alan Beaulieu,AI,9780799838477,Microsoft Press,2020,English,812,2,8,M480,Member_444,2025-01-20,2025-02-04,Issued
120,Artificial Intelligence Basics,Wayne Winston,Algorithms,9780645418202,OReilly,2022,English,884,6,14,M452,Member_370,2025-01-13,2025-01-28,Returned
121,Data Science Handbook,Abraham Silberschatz,Web,9780243171817,Microsoft Press,2022,English,521,9,7,M444,Member_439,2025-02-19,2025-03-06,Issued
122,Artificial Intelligence Basics,Abraham Silberschatz,Data Science,9780147566779,MIT Press,2021,English,655,7,15,M304,Member_182,2025-01-09,2025-01-24,Issued
123,Web Development with Django,Ian Goodfellow,Web,9780454643987,Wiley,2021,English,307,6,6,M334,Member_386,2025-01-13,2025-01-28,Returned
124,Artificial Intelligence Basics,John Smith,AI,9780377850149,Wiley,2021,English,1198,4,5,M609,Member_334,2025-01-13,2025-01-28,Returned
125,Machine Learning Guide,John Smith,Web,9780777490135,Microsoft Press,2017,English,894,9,11,M931,Member_186,2025-01-28,2025-02-12,Issued
126,Introduction to Algorithms,Ian Goodfellow,Web,9780243727331,Wiley,2015,English,443,8,13,M972,Member_10,2025-02-20,2025-03-07,Issued
127,SQL for Beginners,Jake VanderPlas,Algorithms,9780913473021,Microsoft Press,2020,English,813,3,15,M882,Member_379,2025-02-01,2025-02-16,Returned
128,Deep Learning Basics,Ian Goodfellow,Data Science,9780250740518,Wiley,2022,English,774,10,5,M816,Member_106,2025-01-04,2025-01-19,Issued
129,Excel for Data Analysis,Ian Goodfellow,Algorithms,9780810409474,Microsoft Press,2021,English,1050,9,14,M537,Member_477,2025-01-06,2025-01-21,Issued
130,Artificial Intelligence Basics,Andrew Ng,AI,9780117070406,OReilly,2017,English,1001,5,14,M760,Member_106,2025-02-26,2025-03-13,Returned
131,Data Science Handbook,Thomas H. Cormen,Programming,9780668777502,Wiley,2022,English,799,7,9,M365,Member_448,2025-01-24,2025-02-08,Returned
132,Python Programming,Stuart Russell,Programming,9780803666041,MIT Press,2020,English,490,4,7,M862,Member_352,2025-02-15,2025-03-02,Issued
133,Web Development with Django,Jake VanderPlas,Web,9780357694085,OReilly,2016,English,790,2,14,M628,Member_255,2025-02-18,2025-03-05,Returned
134,Operating System Concepts,Andrew Ng,Algorithms,9780280975076,OReilly,2016,English,980,1,8,M856,Member_353,2025-01-02,2025-01-17,Issued
135,Excel for Data Analysis,William Vincent,AI,9780209243053,Wiley,2018,English,844,6,10,M488,Member_280,2025-03-01,2025-03-16,Issued
136,Python Programming,William Vincent,Programming,9780672877434,Wiley,2019,English,780,7,9,M685,Member_348,2025-02-05,2025-02-20,Issued
137,Machine Learning Guide,Jake VanderPlas,Data Science,9780693313353,Microsoft Press,2023,English,666,2,9,M129,Member_281,2025-01-17,2025-02-01,Returned
138,Introduction to Algorithms,Thomas H. Cormen,Database,9780370763182,Pearson,2018,English,794,9,14,M867,Member_54,2025-01-02,2025-01-17,Issued
139,Deep Learning Basics,Wayne Winston,Database,9780802190390,MIT Press,2020,English,1002,9,9,M424,Member_354,2025-02-01,2025-02-16,Issued
140,Python Programming,Abraham Silberschatz,Web,9780444632678,OReilly,2020,English,1167,5,6,M270,Member_395,2025-02-23,2025-03-10,Issued
141,Operating System Concepts,Wayne Winston,Web,9780415672816,Microsoft Press,2018,English,1167,0,12,M803,Member_419,2025-02-28,2025-03-15,Issued
142,SQL for Beginners,William Vincent,Web,9780146326904,Pearson,2020,English,1175,5,8,M160,Member_398,2025-01-09,2025-01-24,Issued
143,Data Science Handbook,William Vincent,Algorithms,9780556602490,Wiley,2020,English,458,0,13,M756,Member_15,2025-01-01,2025-01-16,Returned
144,Operating System Concepts,Stuart Russell,Programming,9780406121303,Pearson,2019,English,678,5,14,M494,Member_433,2025-03-01,2025-03-16,Returned
145,Introduction to Algorithms,Jake VanderPlas,AI,9780308462877,Pearson,2016,English,459,7,15,M833,Member_55,2025-03-02,2025-03-17,Returned
146,SQL for Beginners,Jake VanderPlas,Programming,9780673980058,MIT Press,2023,English,1024,6,13,M620,Member_312,2025-01-17,2025-02-01,Returned
147,Deep Learning Basics,Andrew Ng,AI,9780698702250,Pearson,2019,English,498,2,13,M872,Member_51,2025-02-11,2025-02-26,Issued
148,Machine Learning Guide,Andrew Ng,Algorithms,9780537675320,MIT Press,2022,English,523,5,11,M700,Member_48,2025-01-24,2025-02-08,Returned
149,Python Programming,Abraham Silberschatz,Web,9780632054915,OReilly,2018,English,410,5,14,M657,Member_159,2025-01-31,2025-02-15,Returned
150,Excel for Data Analysis,Jake VanderPlas,Algorithms,9780381806188,Wiley,2015,English,588,4,15,M853,Member_455,2025-03-01,2025-03-16,Returned
151,Web Development with Django,Jake VanderPlas,Database,9780439147677,Microsoft Press,2020,English,376,0,6,M495,Member_334,2025-02-08,2025-02-23,Returned
152,Deep Learning Basics,John Smith,Algorithms,9780943597989,Microsoft Press,2021,English,214,0,9,M227,Member_156,2025-01-15,2025-01-30,Returned
153,Introduction to Algorithms,Wayne Winston,AI,9780468896123,Wiley,2020,English,774,8,10,M705,Member_9,2025-01-02,2025-01-17,Issued
154,Introduction to Algorithms,Stuart Russell,Web,9780684815446,Pearson,2018,English,517,7,13,M812,Member_265,2025-01-30,2025-02-14,Returned
155,Deep Learning Basics,Wayne Winston,Algorithms,9780340975382,MIT Press,2020,English,565,7,11,M767,Member_344,2025-01-30,2025-02-14,Returned
156,Machine Learning Guide,William Vincent,Algorithms,9780142925623,Microsoft Press,2017,English,1186,0,8,M664,Member_113,2025-02-25,2025-03-12,Issued
157,SQL for Beginners,Andrew Ng,Programming,9780107362318,MIT Press,2016,English,1094,4,12,M534,Member_447,2025-01-28,2025-02-12,Issued
158,Python Programming,Stuart Russell,AI,9780568869508,MIT Press,2019,English,1058,6,10,M669,Member_399,2025-01-31,2025-02-15,Returned
159,Web Development with Django,William Vincent,Database,9780807111016,Pearson,2020,English,534,3,15,M415,Member_278,2025-01-09,2025-01-24,Returned
160,SQL for Beginners,Stuart Russell,AI,9780870717733,Wiley,2024,English,380,5,12,M230,Member_66,2025-01-16,2025-01-31,Returned
161,SQL for Beginners,Wayne Winston,AI,9780980733936,Microsoft Press,2022,English,480,9,9,M288,Member_427,2025-02-05,2025-02-20,Issued
162,Artificial Intelligence Basics,Abraham Silberschatz,AI,9780725687569,Pearson,2020,English,1124,8,5,M130,Member_186,2025-02-17,2025-03-04,Issued
163,SQL for Beginners,William Vincent,Algorithms,9780101924602,Wiley,2024,English,892,2,15,M614,Member_349,2025-01-29,2025-02-13,Issued
164,Deep Learning Basics,Wayne Winston,Database,9780510273604,OReilly,2018,English,985,3,13,M589,Member_312,2025-02-01,2025-02-16,Issued
165,Deep Learning Basics,John Smith,Data Science,9780879731126,OReilly,2018,English,792,1,9,M675,Member_126,2025-02-22,2025-03-09,Returned
166,Introduction to Algorithms,Abraham Silberschatz,Programming,9780757005992,OReilly,2017,English,637,1,12,M756,Member_457,2025-01-21,2025-02-05,Issued
167,Machine Learning Guide,Abraham Silberschatz,Web,9780724675735,MIT Press,2018,English,1189,1,10,M947,Member_82,2025-02-24,2025-03-11,Issued
168,Artificial Intelligence Basics,Jake VanderPlas,AI,9780232845864,Microsoft Press,2016,English,941,5,9,M397,Member_397,2025-01-18,2025-02-02,Issued
169,SQL for Beginners,Wayne Winston,Programming,9780728346121,Pearson,2019,English,960,0,7,M446,Member_280,2025-02-26,2025-03-13,Returned
170,Deep Learning Basics,Andrew Ng,Programming,9780200139689,MIT Press,2018,English,679,5,9,M753,Member_66,2025-02-27,2025-03-14,Returned
171,Excel for Data Analysis,Andrew Ng,Algorithms,9780158877359,MIT Press,2016,English,711,7,7,M428,Member_388,2025-01-07,2025-01-22,Returned
172,Excel for Data Analysis,Andrew Ng,Programming,9780831456963,Pearson,2022,English,208,9,13,M785,Member_62,2025-01-01,2025-01-16,Returned
173,Deep Learning Basics,Andrew Ng,AI,9780533783428,Microsoft Press,2018,English,1141,9,11,M664,Member_93,2025-01-18,2025-02-02,Issued
174,Python Programming,Stuart Russell,AI,9780292357747,MIT Press,2020,English,483,8,12,M762,Member_173,2025-01-31,2025-02-15,Returned
175,Data Science Handbook,Ian Goodfellow,Database,9780326764927,MIT Press,2024,English,435,1,5,M934,Member_66,2025-02-20,2025-03-07,Returned
176,Operating System Concepts,Wayne Winston,Web,9780832009226,Microsoft Press,2024,English,452,0,5,M637,Member_38,2025-01-18,2025-02-02,Returned
177,Python Programming,Wayne Winston,AI,9780348511268,Wiley,2020,English,1036,4,9,M713,Member_429,2025-02-18,2025-03-05,Returned
178,Artificial Intelligence Basics,Alan Beaulieu,Programming,9780160731647,Pearson,2021,English,472,3,12,M187,Member_19,2025-01-27,2025-02-11,Returned
179,SQL for Beginners,Andrew Ng,Programming,9780931994480,Wiley,2016,English,845,10,11,M192,Member_481,2025-02-22,2025-03-09,Issued
180,Data Science Handbook,John Smith,AI,9780347522866,Pearson,2023,English,474,5,15,M233,Member_487,2025-01-14,2025-01-29,Returned
181,Web Development with Django,John Smith,Web,9780371175172,Microsoft Press,2017,English,863,3,15,M298,Member_144,2025-01-13,2025-01-28,Returned
182,SQL for Beginners,John Smith,AI,9780304344669,MIT Press,2024,English,799,2,12,M254,Member_88,2025-02-04,2025-02-19,Issued
183,Introduction to Algorithms,John Smith,Algorithms,9780546102877,Pearson,2022,English,553,1,6,M572,Member_145,2025-01-24,2025-02-08,Returned
184,Web Development with Django,Jake VanderPlas,Algorithms,9780985192687,OReilly,2019,English,767,2,11,M835,Member_70,2025-01-17,2025-02-01,Returned
185,Artificial Intelligence Basics,John Smith,Programming,9780129790568,OReilly,2016,English,443,1,7,M510,Member_405,2025-01-10,2025-01-25,Returned
186,Operating System Concepts,Stuart Russell,Algorithms,9780982994631,MIT Press,2018,English,1151,4,15,M535,Member_108,2025-03-02,2025-03-17,Issued
187,Python Programming,Ian Goodfellow,Web,9780672670704,OReilly,2019,English,438,2,11,M918,Member_170,2025-03-02,2025-03-17,Issued
